row,col,x,y,z
55,4,1.78,1.82,0.34999999404
56,4,1.74,1.82,0.34999999404
57,4,1.7,1.82,0.34999999404
58,4,1.66,1.82,0.34999999404
59,4,1.62,1.82,0.34999999404
60,4,1.58,1.82,0.34999999404
61,4,1.54,1.82,0.34999999404
62,4,1.5,1.82,0.34999999404
63,4,1.46,1.82,0.34999999404
64,4,1.42,1.82,0.34999999404
65,4,1.38,1.82,0.34999999404
66,4,1.34,1.82,0.34999999404
67,4,1.3,1.82,0.34999999404
68,4,1.26,1.82,0.34999999404
69,4,1.22,1.82,0.34999999404
70,4,1.18,1.82,0.34999999404
71,4,1.14,1.82,0.34999999404
72,4,1.1,1.82,0.34999999404
73,4,1.06,1.82,0.34999999404
74,4,1.02,1.82,0.370000004768
75,4,0.98,1.82,0.370000004768
76,4,0.94,1.82,0
77,4,0.9,1.82,0
78,4,0.86,1.82,0
79,4,0.82,1.82,0
80,4,0.78,1.82,0
81,4,0.74,1.82,0
82,4,0.7,1.82,0
83,4,0.66,1.82,0
84,4,0.62,1.82,0
85,4,0.58,1.82,0
86,4,0.54,1.82,0
87,4,0.5,1.82,0
88,4,0.46,1.82,0
89,4,0.42,1.82,0
90,4,0.38,1.82,0
91,4,0.34,1.82,0
92,4,0.3,1.82,0
93,4,0.26,1.82,0
94,4,0.22,1.82,0
95,4,0.18,1.82,0
96,4,0.14,1.82,0
97,4,0.1,1.82,0
98,4,0.06,1.82,0
99,4,0.02,1.82,0
100,4,-0.02,1.82,0
101,4,-0.06,1.82,0
102,4,-0.1,1.82,0
103,4,-0.14,1.82,0
104,4,-0.18,1.82,0
105,4,-0.22,1.82,0
106,4,-0.26,1.82,0
107,4,-0.3,1.82,0
108,4,-0.34,1.82,0
109,4,-0.38,1.82,0
110,4,-0.42,1.82,0
111,4,-0.46,1.82,0
112,4,-0.5,1.82,0
113,4,-0.54,1.82,0
114,4,-0.58,1.82,0
115,4,-0.62,1.82,0
